Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 1.25
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
abduct  	abduct  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
abduct  	baduct  	 0.67	 0.33	 0.83	 0.67	 0.81	 0.83	 0.83	 0.66	
abduct  	abdcut  	 0.67	 1.00	 1.00	 0.67	 0.93	 0.83	 0.80	 0.96	
abduct  	abdutc  	 0.67	 0.67	 0.67	 0.67	 0.81	 0.83	 0.83	 0.94	
abduct  	audbct  	 0.67	 0.50	 0.50	 0.67	 0.82	 0.67	 0.44	 0.81	
abduct  	acdubt  	 0.67	 0.67	 0.67	 0.67	 0.76	 0.42	 0.32	 0.78	
abduct  	abdct   	 0.50	 0.83	 0.83	 0.83	 0.81	 0.58	 0.64	 0.75	
abduct  	abduc   	 0.83	 0.83	 0.33	 0.50	 0.75	 0.75	 0.79	 0.71	
abduct  	abct    	 0.33	 0.33	 0.50	 0.67	 0.57	 0.25	 0.33	 0.57	
abduct  	baudtc  	 0.00	 0.33	 0.33	 0.00	 0.48	 0.67	 0.44	 0.59	
abduct  	uctabd  	 0.00	 0.00	 0.00	 0.00	 0.38	 0.50	 0.73	 0.33	
abduct  	abd     	 0.50	 0.50	 0.17	 0.33	 0.50	 0.25	 0.36	 0.41	
abduct  	dbatcu  	 0.33	 0.33	 0.33	 0.33	 0.39	 0.25	 0.18	 0.38	
abduct  	uacbtd  	 0.00	 0.00	 0.00	 0.00	 0.31	 0.33	 0.38	 0.46	
abduct  	atcudb  	 0.33	 0.33	 0.33	 0.33	 0.45	 0.08	 0.17	 0.70	
abduct  	vbduct  	 0.83	 0.00	 0.33	 0.83	 0.75	 0.75	 0.79	 0.30	
abduct  	abdfct  	 0.83	 0.50	 0.50	 0.83	 0.88	 0.58	 0.58	 0.81	
abduct  	abduch  	 0.83	 0.83	 0.83	 0.83	 0.75	 0.75	 0.79	 0.71	
abduct  	admuct  	 0.67	 0.67	 0.67	 0.67	 0.84	 0.58	 0.56	 0.66	
abduct  	abnyct  	 0.67	 0.67	 0.67	 0.67	 0.75	 0.25	 0.31	 0.62	
abduct  	abdxuct 	 0.50	 0.67	 0.67	 1.00	 0.90	 0.75	 0.85	 0.96	
abduct  	abdqsuct	 0.50	 0.50	 0.50	 1.00	 0.73	 0.58	 0.75	 0.96	
